Number of points,Value of pi,X COM,Y COM,Z COM
1,0.0,-1.1771126829819882,-0.3932815259671712,0.4980938629539536
2,1.0444364486709838,-0.9413711557065294,0.19630649915780668,0.41357839311173766
3,2.0888728973419677,-0.649286963246339,-0.22056588605066355,0.28351856052906704
4,3.1333093460129513,-0.3081470878639706,-0.030430161556027402,0.17899823503443962
5,2.7851638631226234,-0.20128196433220333,-0.007653653702253907,0.07125374855359094
6,3.4814548289032796,-0.16504808376507565,0.04967911597234309,-0.17439338981035088
7,4.177745794683935,-0.1125613495206059,-0.1718909302186197,-0.1257134995722157
8,3.6555275703484433,-0.09789085225468215,-0.05160361422181842,-0.009201990558494536
9,4.177745794683935,-0.07931713710033961,0.029532641193123568,0.1238464949434594
10,4.699964019019427,0.011166828653595496,-0.10772289315500379,0.11662959565406524
11,4.177745794683935,-0.021368154003919723,-0.0897013274493776,0.07035678004946354
12,3.8296003117936075,0.06575150586082178,-0.026096230407001614,-0.004460677499541922
13,3.5809249668719443,0.051693855523327614,0.006386531302220453,0.029827104104321912
14,3.3944184581806973,0.0162607558325114,-0.01822538100524144,0.014678856737952455
15,3.6555275703484433,-0.06649742228328744,-0.01123043129864398,-0.02843903632859625
16,3.481454828903279,-0.05337742764365874,0.004265889749939661,-0.009786171839383854
17,3.3421966357471478,0.02102825133668785,-0.01686722843286775,-0.000546481364139417
18,3.2282581140739497,-0.013358864852745282,-0.006756287027708798,0.02479360450540349
19,3.1333093460129517,0.008739181051714288,0.00861294654016182,-0.050174455534963594
20,3.0529680807305684,-0.06494217022633411,-3.851555200930917e-05,-0.04066793740149697
21,2.9841041390599536,-0.053703267668994296,0.029882991528874223,-0.00536610657466184
22,2.924422056278755,-0.0008437983622086132,0.016528211215507342,0.01673203344330811
23,3.063680249434886,0.029989614391966398,-0.04302990607304717,-0.016929108207877835
24,3.2029384425910172,0.020130406702791728,0.007304466258392724,0.021759367171893088
25,3.1333093460129513,0.003301757067660207,-0.028050244976703498,0.007349349158982745
26,3.0718719078558343,-0.017550153965966105,0.011710857959885527,0.0019787709099535872
27,3.194746784170068,0.022397447589917886,-0.006172169773374544,-0.041514602930972345
28,3.3176216604843014,-0.00792259652768015,0.03379777883857859,-0.038562997947085245
29,3.249357840309727,0.013714100711915833,0.004214460385080676,-0.033226995000558465
30,3.188279685416687,0.006486019142931671,-0.03829511774271131,-0.032814422977958696
31,3.298220364224159,-0.03627835006705558,-0.026361805522223447,-0.005663293413674485
32,3.4081610430316314,-0.01797046498601128,-0.015564459491677883,0.04051248271779313
33,3.3421966357471478,-0.013212129628668464,-0.0006928088560290449,0.0357215249050205
34,3.282514552965949,0.018522255569901336,0.01985154120409515,0.02066518318915512
