Number of points,Value of pi,,Mean,Std. Dev.
147,2.96092663118376,,,
174,2.96209025606689,,,
157,2.96240156350315,,,
177,2.96485185429183,,,
143,2.96619951422559,,,
170,2.96655058530078,,,
173,2.96930692845305,,,
156,2.97041558796335,,,
176,2.97197363442963,,,
186,2.97262681544818,,,
159,2.97335061063091,,,
169,2.9739885318089,,,
172,2.9766438787123,,,
155,2.97857802028392,,,
165,2.97891439273115,,,
339,2.979067676378,,,
185,2.9794776210149,,,
168,2.98155362270178,,,
335,2.98155362270178,,,
178,2.98169760346394,,,
318,2.98275994800632,,,
338,2.98283968815357,,,
181,2.98410413905995,,,
191,2.98410413905995,,,
321,2.98410413905995,,,
341,2.98410413905995,,,
334,2.98538487045011,,,
184,2.98643547041859,,,
337,2.98664380215703,,,
164,2.98672177426966,,,
317,2.98680468579213,,,
340,2.98788148607142,,,
320,2.98811862893313,,,
187,2.98869506850466,,,
343,2.98909845561068,,,
167,2.98924914619626,,,
333,2.98924914619626,,,
336,2.99048042995538,,,
190,2.99088619392145,,,
316,2.99088619392145,,,
180,2.9912659889937,,,
160,2.99216928538174,,,
319,2.99216928538174,,,
342,2.99288091593954,,,
332,2.99314687887529,,,
322,2.99342946449452,,,
183,2.99350289225384,,,
163,2.9946673395522,,,
315,2.99500497609762,,,
166,2.99707850488195,,,
331,2.99707850488195,,,
354,2.99744769415331,,,
189,2.99777179160527,,,
344,2.99783850957446,,,
179,2.99854335263605,,,
324,2.99869309262869,,,
347,2.998962748881,,,
314,2.99916154526622,,,
192,2.99980995031816,,,
182,3.00068249538806,,,
330,3.00104446823366,,,
353,3.00115616271173,,,
195,3.00178771914327,,,
310,3.00214755943567,,,
356,3.00222622897327,,,
346,3.00275478992908,,,
162,3.00275478992908,,,
323,3.00275478992908,,,
313,3.00335642382808,,,
326,3.00391013998292,,,
188,3.00476332156114,,,
352,3.0048950285534,,,
329,3.00504522073757,,,
355,3.00593904739454,,,
309,3.00641519804358,,,
345,3.00657856353823,,,
312,3.00759014385811,,,
348,3.00763027127661,,,
325,3.00797697217243,,,
194,3.00860051632089,,,
351,3.00866466695345,,,
328,3.00908122216222,,,
282,3.0101194059133,,,
295,3.01043446969872,,,
357,3.01068320426616,,,
308,3.01072290837551,,,
161,3.01098796013257,,,
311,3.01186324733028,,,
350,3.01246545938986,,,
327,3.01315294041364,,,
304,3.01394518045055,,,
281,3.01486809925645,,,
294,3.01497418187782,,,
307,3.01507125748416,,,
359,3.01538910180816,,,
193,3.01551576157637,,,
284,3.01607668340702,,,
