Number of points,Value of pi,X COM,Y COM,Z COM
1,0.0,-0.4020305364806472,0.30758060169246404,0.6333841970319267
2,1.1547005383792517,-0.07046579161015026,-0.1528762419581946,0.016725949090887537
3,2.3094010767585034,0.23201923952283007,0.18853093929825984,-0.04643292622806482
4,1.7320508075688776,0.21686755738846442,-0.024217331195086067,0.13536606250252606
5,2.3094010767585034,0.20382934286763157,0.26189928243678595,0.05492069993120511
6,2.886751345948129,0.18866165164632773,0.1640600262788762,-0.20365044338127444
7,2.3094010767585034,0.11336850307088771,0.1467041531927563,-0.16924069694225916
8,2.0207259421636903,0.08413710983567745,0.03685991417497464,-0.16671428484694634
9,2.3094010767585034,0.08113110609261423,-0.046675445373349785,-0.018448757845651167
10,2.5980762113533165,0.030631529727811135,0.05728686442391073,0.06424255314014993
11,2.886751345948129,0.012662165048949658,-0.03667797072626789,-0.05076904729021146
12,3.175426480542942,-0.1037123823918296,-0.007761793509439309,-0.02233271960104576
13,3.4641016151377553,-0.09726806019925677,0.09475649491574684,0.0189646157939879
14,3.752776749732568,-0.008738342241023498,0.09396010310056127,-0.02493377122279889
15,4.041451884327381,0.023338403142335994,0.07922995623183544,0.06841538631023888
16,4.330127018922194,-0.05316670185651781,0.04829976481316114,0.050627596948609875
17,4.618802153517007,0.021762205947441788,0.046248281222602716,0.030632377232031095
18,4.90747728811182,-0.041976685759410444,0.02127759848495225,-0.030753157653370247
19,5.196152422706633,0.01145514344431619,-0.023324739819535256,0.021864271073808277
20,5.484827557301445,0.006894845567588123,0.03597133437697116,-0.02463168579165782
21,5.773502691896258,-0.001204943253146174,0.032803207508399566,0.039212674436139246
22,6.062177826491071,-0.0011322909395336637,-0.016765568577260744,-0.004778434845174131
23,5.0806823688687075,0.02842929247663254,0.022914955640129478,0.03446500597902689
24,4.426352063787132,0.011425458393129107,0.009645362505948822,0.012765716803714522
25,3.958973274443149,-0.027021141772545727,-0.030312396189075823,-0.004370570536800147
26,3.6084391824351614,-0.0011956940113859043,-0.025009321881756995,0.0204553454205515
27,3.335801555317838,0.004723830083091853,-0.013489552683573299,-0.015639169672945555
28,3.464101615137755,-0.018925287986489767,-0.0034834931905560773,0.03871356951435367
29,3.5924016749576717,0.02439412337674086,0.030453249865726832,0.022564178064061743
30,3.7207017347775886,-0.0077442989197679815,0.02906007960524575,-0.015951081935028096
31,3.8490017945975055,-0.0046486591185482705,0.028142843860492914,0.03487465273446046
32,3.5795716689756802,0.004697925955901408,0.012658633476259694,0.034221285379497
33,3.3591288389214595,-0.02106178573725608,-0.004219275961466656,0.018413881772120434
34,3.464101615137755,0.0170834831665031,0.009345800355375739,0.010509890741296714
35,3.5690743913540506,-0.005345665116533129,-0.011244798935288024,-0.022927855931354924
36,3.6740471675703463,0.0011521296921452927,0.019901717758841572,-0.02112932070212737
37,3.4641016151377553,-0.0033467301152268194,0.012023890808862974,-0.020210488258721283
38,3.2864553784640242,0.013081563359039905,0.0014262485658715922,-0.014402399197482648
39,3.3752784968008895,-0.007430717441529453,-0.007935215909029148,0.023710759942497276
40,3.4641016151377553,5.7842809735188236e-05,0.02361932383445935,0.013659891844485367
41,3.5529247334746206,-0.030377356955883106,0.022834083762970955,-0.014083455258656036
42,3.6417478518114863,0.006236468700237308,0.006663582113991479,-0.006325235454669816
43,3.4641016151377553,-0.007370612974392282,0.00045693148997298877,0.013483468599915217
44,3.310141543353855,0.014100203099154213,-0.01600785084928795,0.0018019708955102505
45,3.387121579245805,0.0013315172520386436,-0.0008824743810232288,-0.029696056787435154
46,3.4641016151377553,-0.025085771823622014,0.012001334996613643,-0.018492667588948693
47,3.5410816510297054,-0.003384891657084736,-0.0045368608467856435,-0.01665192284794991
48,3.391932831489052,-0.0020055094634393337,0.002592595078520467,-0.011410844682390009
49,3.260330931894358,0.0032209627497628906,-0.0004882896730496857,0.004864912973560971
50,3.32825449297549,-0.003307733373811174,-0.0002535104149345689,-0.02024791428495452
51,3.3961780540566227,0.00021540860671846984,0.020154675297493072,-0.008588540635169504
52,3.2716515254078797,-0.007803477721795796,0.005143475790728158,-0.006072250866373169
53,3.335801555317838,0.009659481993787227,-0.0048536226207862975,0.016285628621462527
54,3.3999515852277966,-0.011661172408225184,0.00037819738091434107,0.008014571331773277
55,3.464101615137755,0.0011894214886181405,-0.020848870338440652,-0.004058347202387396
56,3.342554190045202,-0.010242674372215642,-0.017772155422573998,-0.003038066439800861
